 Cod. Tipo Entidad ; Tipo Entidad ; Cód. Entidad ; Entidad ; Cód. País ; País ; Cod CCAA ; CCAA ; Cod. Provincia ; Provincia ; Cód. Municipio ; Municipio/Población ; Domicilio ; CP ; Tipo 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL QUATRE CAMINS 30 ; 08022 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; PS DE GRACIA 54 ; 08007 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL TUSET 20 ; 08006 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL GUIPUZCOA 148 ; 08020 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL BRASIL, 7 0007 ; 08028 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; AV AV. MADRID, 203 0203 ; 08014 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL PEDRO IV, 184-186 0184 ; 08005 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL BALMES, 291 0291 ; 08006 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL TRAVESSERA DE GRACIA, 51 0051 ; 08006 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; ZZ GRAN VIA DE LES CORTS CATALANES, 737 0737 ; 08013 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL VALENCIA 0487 ; 08013 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; PZ PL. DE LESSEPS, 4-5 0004 ; 08023 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; RD RONDA DE SANT PERE, 29 0029 ; 08010 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; AV AV. DIAGONAL, 550 0550 ; 08021 ; Operativas ; 
